2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:24:20,237 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00000, setp 159, Reward -30.6, Crashed,
2020-09-29 22:24:20,248 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00000, setp 059, Reward -37.8, Crashed,
2020-09-29 22:24:20,238 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00000, setp 022, Reward -41.9, Crashed,
2020-09-29 22:24:21,553 - INFO - Env 16, Goal (005.5, -02.5), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:21,557 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:21,559 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:21,575 - INFO - Env 15, Goal (003.5, -02.5), Episode 00003, setp 033, Reward -25.9, Crashed,
2020-09-29 22:24:24,179 - INFO - Env 10, Goal (010.0, 010.0), Episode 00001, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:24,181 - INFO - Env 14, Goal (018.0, 010.0), Episode 00001, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:24,181 - INFO - Env 12, Goal (014.0, 010.0), Episode 00001, setp 098, Reward -32.1, Crashed,
2020-09-29 22:24:24,187 - INFO - Env 11, Goal (012.0, 010.0), Episode 00001, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:24,191 - INFO - Env 13, Goal (016.0, 010.0), Episode 00001, setp 072, Reward -25.0, Crashed,
2020-09-29 22:24:26,129 - INFO - Env 22, Goal (003.5, -05.5), Episode 00002, setp 017, Reward -43.9, Crashed,
2020-09-29 22:24:26,129 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00002, setp 031, Reward -41.8, Crashed,
2020-09-29 22:24:26,130 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00002, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:26,139 - INFO - Env 23, Goal (005.5, -05.5), Episode 00002, setp 022, Reward -43.3, Crashed,
2020-09-29 22:24:26,143 - INFO - Env 21, Goal (001.5, -05.5), Episode 00002, setp 037, Reward -43.8, Crashed,
2020-09-29 22:24:28,010 - INFO - Env 16, Goal (005.5, -02.5), Episode 00004, setp 025, Reward -25.0, Crashed,
2020-09-29 22:24:28,010 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00004, setp 019, Reward -25.4, Crashed,
2020-09-29 22:24:28,011 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00004, setp 022, Reward -27.1, Crashed,
2020-09-29 22:24:28,016 - INFO - Env 15, Goal (003.5, -02.5), Episode 00004, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:30,370 - INFO - Env 08, Goal (003.0, 003.0), Episode 00002, setp 062, Reward -52.7, Crashed,
2020-09-29 22:24:30,370 - INFO - Env 09, Goal (005.0, 003.0), Episode 00002, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:30,371 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00002, setp 032, Reward -42.8, Crashed,
2020-09-29 22:24:30,371 - INFO - Env 07, Goal (000.0, 003.0), Episode 00002, setp 045, Reward -41.6, Crashed,
2020-09-29 22:24:30,716 - INFO - Env 24, Goal (-18.0, -10.0), Episode 00000, setp 025, Reward -38.9, Crashed,
2020-09-29 22:24:30,717 - INFO - Env 28, Goal (-07.2, -13.5), Episode 00000, setp 179, Reward -31.7, Crashed,
2020-09-29 22:24:30,719 - INFO - Env 31, Goal (-10.2, -04.3), Episode 00000, setp 201, Reward -30.0, Time out,
2020-09-29 22:24:30,719 - INFO - Env 25, Goal (-16.9, -13.5), Episode 00000, setp 194, Reward -46.5, Crashed,
2020-09-29 22:24:30,719 - INFO - Env 30, Goal (-07.2, -06.5), Episode 00000, setp 201, Reward -35.0, Time out,
2020-09-29 22:24:30,720 - INFO - Env 26, Goal (-13.8, -15.7), Episode 00000, setp 114, Reward -31.6, Crashed,
2020-09-29 22:24:30,720 - INFO - Env 27, Goal (-10.2, -15.7), Episode 00000, setp 128, Reward -49.1, Crashed,
2020-09-29 22:24:30,722 - INFO - Env 32, Goal (-13.8, -04.3), Episode 00000, setp 074, Reward -38.6, Crashed,
2020-09-29 22:24:30,728 - INFO - Env 33, Goal (-16.9, -06.5), Episode 00000, setp 024, Reward -38.9, Crashed,
2020-09-29 22:24:30,747 - INFO - Env 29, Goal (-06.0, -10.0), Episode 00000, setp 198, Reward -32.1, Crashed,
2020-09-29 22:24:32,637 - INFO - Env 21, Goal (001.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:32,637 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:32,647 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00003, setp 027, Reward -43.6, Crashed,
2020-09-29 22:24:32,656 - INFO - Env 22, Goal (003.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:32,656 - INFO - Env 23, Goal (005.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:34,569 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:34,571 - INFO - Env 08, Goal (003.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:34,579 - INFO - Env 07, Goal (000.0, 003.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:34,579 - INFO - Env 09, Goal (005.0, 003.0), Episode 00003, setp 017, Reward -42.9, Crashed,
2020-09-29 22:24:42,087 - INFO - Env 10, Goal (010.0, 010.0), Episode 00002, setp 067, Reward -31.3, Crashed,
2020-09-29 22:24:42,095 - INFO - Env 12, Goal (014.0, 010.0), Episode 00002, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:42,096 - INFO - Env 14, Goal (018.0, 010.0), Episode 00002, setp 033, Reward -25.2, Crashed,
2020-09-29 22:24:42,100 - INFO - Env 11, Goal (012.0, 010.0), Episode 00002, setp 018, Reward -27.7, Crashed,
2020-09-29 22:24:42,109 - INFO - Env 13, Goal (016.0, 010.0), Episode 00002, setp 033, Reward -23.4, Crashed,
2020-09-29 22:24:42,675 - INFO - Env 16, Goal (005.5, -02.5), Episode 00005, setp 025, Reward -27.2, Crashed,
2020-09-29 22:24:42,680 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00005, setp 053, Reward -21.9, Crashed,
2020-09-29 22:24:42,680 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00005, setp 021, Reward -23.8, Crashed,
2020-09-29 22:24:42,687 - INFO - Env 15, Goal (003.5, -02.5), Episode 00005, setp 043, Reward -24.8, Crashed,
2020-09-29 22:24:44,160 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00001, setp 001, Reward -42.5, Crashed,
2020-09-29 22:24:44,161 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:44,161 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00001, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:44,161 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00001, setp 001, Reward -42.5, Crashed,
2020-09-29 22:24:44,195 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00001, setp 016, Reward -38.7, Crashed,
2020-09-29 22:24:44,195 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00001, setp 088, Reward -27.3, Crashed,
2020-09-29 22:24:49,055 - INFO - Env 08, Goal (003.0, 003.0), Episode 00004, setp 042, Reward -43.8, Crashed,
2020-09-29 22:24:49,060 - INFO - Env 09, Goal (005.0, 003.0), Episode 00004, setp 031, Reward -43.6, Crashed,
2020-09-29 22:24:49,066 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00004, setp 033, Reward -42.7, Crashed,
2020-09-29 22:24:49,080 - INFO - Env 07, Goal (000.0, 003.0), Episode 00004, setp 024, Reward -42.6, Crashed,
2020-09-29 22:24:52,961 - INFO - Env 16, Goal (005.5, -02.5), Episode 00006, setp 031, Reward -26.8, Crashed,
2020-09-29 22:24:52,961 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00006, setp 001, Reward -30.0, Crashed,
